Tomatoes,Current Price,Orignal Price,Weight in lbs,True Weight,Organic,Brand,Address,State,City,Zip Code,Date Collected,Url
Roma Tomatoes,0.45,0.5,0.25,0.25 lbs (1.79/lb),,,,,,,2023-07-10,https://www.hy-vee.com/aisles-online/p/8657/Roma-Tomatoes
Tomatoes on the Vine,0.9,0.9,0.3,0.30 lbs (2.99/lb),,,,,,,2023-07-10,https://www.hy-vee.com/aisles-online/p/8824/Tomatoes-on-the-Vine
Basket & Bushel Grape Tomatoes,3.19,3.32,,1 pint Clam Shell,,,,,,,2023-07-10,https://www.hy-vee.com/aisles-online/p/3538538/Basket-And-Bushel-Grape-Tomatoes
Basket & Bushel Gourmet Medley Tomatoes,4.19,4.19,,1 pint Container,,,,,,,2023-07-10,https://www.hy-vee.com/aisles-online/p/3538540/Basket-And-Bushel-Gourmet-Medley-Tomatoes
NatureSweet Cherub Tomatoes,4.19,4.19,0.65625,10.5 oz,,,,,,,2023-07-10,https://www.hy-vee.com/aisles-online/p/2973805/NatureSweet-Cherub-Tomatoes
Greenhouse Tomatoes,1.36,1.64,0.55,0.55 lbs (2.48/lb),,,,,,,2023-07-10,https://www.hy-vee.com/aisles-online/p/8854/Greenhouse-Tomatoes
Angel Sweet Tomatoes Snack Cup,4.19,4.19,0.625,10 oz Container,,,,,,,2023-07-10,https://www.hy-vee.com/aisles-online/p/3758077/Angel-Sweet-Tomatoes-Snack-Cup
Nature Sweet Cherubs,8.39,8.99,1.5,24 oz Plastic Container,,,,,,,2023-07-10,https://www.hy-vee.com/aisles-online/p/793206/Nature-Sweet-Cherubs
Full Circle Market Organic Grape Tomatoes,4.19,4.19,,1 pt,True,,,,,,2023-07-10,https://www.hy-vee.com/aisles-online/p/3128235/Full-Circle-Market-Organic-Grape-Tomatoes
Sunset Campari Tomatoes,6.29,6.29,1,1 lb Clamshell,,,,,,,2023-07-10,https://www.hy-vee.com/aisles-online/p/410515/Sunset-Campari-Tomatoes
Sunset Flavor Bombs Cherry Tomatoes on Vine,6.29,6.29,0.75,12 oz Clam Shell,,,,,,,2023-07-10,https://www.hy-vee.com/aisles-online/p/3009875/Sunset-Flavor-Bombs-Cherry-Tomatoes-on-Vine
Basket & Bushel One Sweet Tomatoes,4.19,4.19,,1 pint Container,,,,,,,2023-07-10,https://www.hy-vee.com/aisles-online/p/3538539/Basket-And-Bushel-One-Sweet-Tomatoes
Basket & Bushel Grape Tomatoes,6.29,6.99,1.5,24 oz Container,,,,,,,2023-07-10,https://www.hy-vee.com/aisles-online/p/3538537/Basket-And-Bushel-Grape-Tomatoes
Heirloom Tomatoes,2.3,2.74,0.55,0.55 lbs (4.19/lb),,,,,,,2023-07-10,https://www.hy-vee.com/aisles-online/p/37174/Heirloom-Tomatoes
Sugar Bomb Tomatoes,6.29,6.29,0.75,12 oz Package,,,,,,,2023-07-10,https://www.hy-vee.com/aisles-online/p/2850121/Sugar-Bomb-Tomatoes
Basket & Bushel Zima Tomatoes,4.19,4.19,,1 pint Container,,,,,,,2023-07-10,https://www.hy-vee.com/aisles-online/p/3538541/Basket-And-Bushel-Zima-Tomatoes
Basket & Bushel Mini Kumato Tomatoes,4.19,4.19,,1 pint Container,,,,,,,2023-07-10,https://www.hy-vee.com/aisles-online/p/3538542/Basket-And-Bushel-Mini-Kumato-Tomatoes
"Sunset Tomatoes, Organic, Campari",6.29,6.29,0.75,12 oz Clamshell,True,,,,,,2023-07-10,https://www.hy-vee.com/aisles-online/p/491714/Sunset-Tomatoes-Organic-Campari
Cherry Tomatoes,3.19,3.99,,1 pt,,,,,,,2023-07-10,https://www.hy-vee.com/aisles-online/p/37463/Cherry-Tomatoes
