Tomatoes,Current Price,Orignal Price,Weight in lbs,True Weight,Organic,Brand,Address,State,City,Zip Code,Date Collected,Url
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-07-10,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/organic_on_the_vine_tomato/p/2313397#!/?department_id=1322936
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-07-10,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/organic_slicer_tomatoes/p/7783644#!/?department_id=1322936
Tomatillos,3.99,3.99,1.0,$3.99/lb,,,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-07-10,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/tomatillos/p/12573#!/?department_id=1322936
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-07-10,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/organic_darling_grape_tomatoes/p/1564405684690758978#!/?department_id=1322936
Heirloom Tomatoes,4.49,4.49,1.0,$4.49/lb,,,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-07-10,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/heirloom_tomatoes/p/2311736
Organic On-The-Vine Tomato,3.99,3.99,1.0,$3.99/lb,True,,22 South Van Buren Street,IA,Iowa City,52240,2023-07-10,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/organic_on_the_vine_tomato/p/2313397#!/?department_id=1322936
Organic Slicer Tomatoes,3.99,3.99,1.0,$3.99/lb,True,,22 South Van Buren Street,IA,Iowa City,52240,2023-07-10,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/organic_slicer_tomatoes/p/7783644#!/?department_id=1322936
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,22 South Van Buren Street,IA,Iowa City,52240,2023-07-10,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/tomatillos/p/12573#!/?department_id=1322936
Organic Darling Grape Tomatoes,5.99,5.99,0.75,12 oz,True,,22 South Van Buren Street,IA,Iowa City,52240,2023-07-10,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/organic_darling_grape_tomatoes/p/1564405684690758978#!/?department_id=1322936
Heirloom Tomatoes,4.49,4.49,1.0,$4.49/lb,,,22 South Van Buren Street,IA,Iowa City,52240,2023-07-10,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/heirloom_tomatoes/p/2311736
Organic On-The-Vine Tomato,3.99,3.99,1.0,$3.99/lb,True,,1101 2nd St,IA,Coralville,52241,2023-07-10,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/organic_on_the_vine_tomato/p/2313397#!/?department_id=1322936
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,1101 2nd St,IA,Coralville,52241,2023-07-10,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/organic_slicer_tomatoes/p/7783644#!/?department_id=1322936
Tomatillos,3.99,3.99,1.0,$3.99/lb,,,1101 2nd St,IA,Coralville,52241,2023-07-10,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/tomatillos/p/12573#!/?department_id=1322936
Organic Darling Grape Tomatoes,5.99,5.99,0.75,12 oz,True,,1101 2nd St,IA,Coralville,52241,2023-07-10,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/organic_darling_grape_tomatoes/p/1564405684690758978#!/?department_id=1322936
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,1101 2nd St,IA,Coralville,52241,2023-07-10,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/heirloom_tomatoes/p/2311736
