Heirloom Tomatoes,Current Price,Orignal Price,Weight in lbs,True Weight,Organic,Brand,Local,Address,State,City,Zip Code,Latitude,Longitude,Store,Date Collected,Url
Heirloom Tomatoes - 0.8 Pound,3.99,3.99,0.8,0.8 lb,,,,2130 E. Kimberly Rd.,IA,Davenport,52807,41.5570122,-90.5461028,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=heirloom%20Tomatoes
TOMATOES HEIRLOOM CHERRY MIX,5.99,5.99,,Size: 1 PINT,,Del cabo,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-11820
TOMATOES HEIRLOOM ORGANIC,7.49,7.49,,$2.62/ea avg Average per unit price,True,,,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-22455
TOMATOES CHERRY HEIRLOOM OG,4.99,4.99,,4.99/ea,True,Del cabo,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-11896
TOMATO ITAL HEIRLOOM,2.99,2.99,,2.99/ea,,Seed savers,Local,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-11973
TOMATOES HEIRLOOM LOCAL,6.49,6.49,1.0,6.49/lb,,,Local,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-22343
Heirloom Tomatoes,2.3,2.74,0.55,0.55 lbs (4.19/lb),,,,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/37174/
Heirloom Tomatoes,4.49,4.49,1.0,$4.49/lb,,,,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,42.0125766,-91.663544,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/heirloom_tomatoes/p/2311736
Heirloom Tomatoes,4.49,4.49,1.0,$4.49/lb,,,,22 South Van Buren Street,IA,Iowa City,52240,41.6605299,-91.5283829,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/heirloom_tomatoes/p/2311736
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of stock,,1101 2nd St,IA,Coralville,52241,41.6744321,-91.580342,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/heirloom_tomatoes/p/2311736
Heirloom Tomatoes,3.99,3.99,1,$3.99/lb,,,,900 South Locust Street,IA,Glenwood,51534,41.0391826,-95.7465211,Russ Market ,7/10/2023,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/heirloom_tomatoes/p/12412
