,Egg,Current Price,Sale,Amount,Url
0,Hy-Vee Grade A Large Eggs,$2.59,,12 ct,https://www.hy-vee.com/aisles-online/p/57236/HyVee-Grade-A-Large-Eggs
1,Hy-Vee Grade A Large Eggs,$3.19,,18 ct,https://www.hy-vee.com/aisles-online/p/23899/HyVee-Grade-A-Large-Eggs
2,Farmers Hen House Free Range Organic Large Brown Grade A Eggs,$6.29,,12 ct Carton,https://www.hy-vee.com/aisles-online/p/715446/Farmers-Hen-House-Free-Range-Organic-Large-Brown-Grade-A-Eggs
3,That's Smart! Large Shell Eggs,$1.89,,12 ct,https://www.hy-vee.com/aisles-online/p/2849570/Thats-Smart-Large-Shell-Eggs
4,Farmers Hen House Free Range Grade A Large Brown Eggs,$5.29,,12 ct Carton,https://www.hy-vee.com/aisles-online/p/31351/Farmers-Hen-House-Free-Range-Grade-A-Large-Brown-Eggs
5,Hy-Vee Grade A Extra Large Eggs,$3.49,,18 ct Carton,https://www.hy-vee.com/aisles-online/p/23900/HyVee-Grade-A-Extra-Large-Eggs
6,Egglands Best Farm Fresh Grade A Large Eggs,$6.29,,18 ct,https://www.hy-vee.com/aisles-online/p/71297/Egglands-Best-Farm-Fresh-Grade-A-Large-Eggs
7,Eggland's Best Grade A Large Eggs,$4.19,,12 ct,https://www.hy-vee.com/aisles-online/p/36345/Egglands-Best-Grade-A-Large-Eggs
8,Hy-Vee Free Range Large Brown Egg Grade A,$4.19,,12 ct,https://www.hy-vee.com/aisles-online/p/3192325/HyVee-Free-Range-Large-Brown-Egg-Grade-A
9,Hy-Vee Grade A Jumbo Eggs,$2.89,,12 ct,https://www.hy-vee.com/aisles-online/p/23903/HyVee-Grade-A-Jumbo-Eggs
10,Hy-Vee Cage Free Large Brown Egg Grade A,$6.29,,18 ct,https://www.hy-vee.com/aisles-online/p/3192323/HyVee-Cage-Free-Large-Brown-Egg-Grade-A
11,Eggland's Best Cage Free Brown Grade A Large Eggs,$5.79,,12 ct,https://www.hy-vee.com/aisles-online/p/36346/Egglands-Best-Cage-Free-Brown-Grade-A-Large-Eggs
12,Hy-Vee Cage Free Large Brown Egg Grade A,$4.19,,12 ct,https://www.hy-vee.com/aisles-online/p/3192322/HyVee-Cage-Free-Large-Brown-Egg-Grade-A
13,Hy-Vee Cage Free Omega-3 Grade A Large Brown Eggs,$4.19,,12 ct,https://www.hy-vee.com/aisles-online/p/858343/HyVee-Cage-Free-Omega3-Grade-A-Large-Brown-Eggs
14,Farmers Hen House Pasture Raised Organic Grade A Large Brown Eggs,$7.39,,12 ct Carton,https://www.hy-vee.com/aisles-online/p/1901565/Farmers-Hen-House-Pasture-Raised-Organic-Grade-A-Large-Brown-Eggs
15,Hy-Vee HealthMarket Organic Grade A Large Eggs,$5.79,,12 ct,https://www.hy-vee.com/aisles-online/p/60364/HyVee-HealthMarket-Organic-Grade-A-Large-Eggs
16,Eggland's Best Extra Large Eggs,$4.49,,12 ct,https://www.hy-vee.com/aisles-online/p/71298/Egglands-Best-Extra-Large-Eggs
17,Hy-Vee Grade A Extra Large Eggs,$2.69,,12 ct,https://www.hy-vee.com/aisles-online/p/23902/HyVee-Grade-A-Extra-Large-Eggs
18,Egglands Best XL Eggs,$6.59,,18 ct,https://www.hy-vee.com/aisles-online/p/453006/Egglands-Best-XL-Eggs
19,Hy-Vee One Step Pasture Raised Large Brown Eggs,$5.29,,1 dz,https://www.hy-vee.com/aisles-online/p/2668550/HyVee-One-Step-Pasture-Raised-Large-Brown-Eggs
20,Farmers Hen House Jumbo Brown Eggs,$5.29,,12 ct,https://www.hy-vee.com/aisles-online/p/66622/Farmers-Hen-House-Jumbo-Brown-Eggs
21,"Nellie's Eggs, Brown, Free Range, Large",$8.39,,18 ct,https://www.hy-vee.com/aisles-online/p/3274825/Nellies-Eggs-Brown-Free-Range-Large
22,Hy-Vee Grade A Medium Eggs,$1.99,,12 ct,https://www.hy-vee.com/aisles-online/p/57235/HyVee-Grade-A-Medium-Eggs
23,"Pete And Gerry's Eggs, Organic, Brown, Free Range, Large",$7.39,,12 ct,https://www.hy-vee.com/aisles-online/p/2437128/Pete-And-Gerrys-Eggs-Organic-Brown-Free-Range-Large
24,Eggland's Best Organic Cage Free Grade A Large Brown Eggs,$7.19,,12 ct,https://www.hy-vee.com/aisles-online/p/36347/Egglands-Best-Organic-Cage-Free-Grade-A-Large-Brown-Eggs
25,Nellie's Free Range Eggs Large Fresh Brown Grade A,$6.29,,12 ct,https://www.hy-vee.com/aisles-online/p/2698224/Nellies-Free-Range-Eggs-Large-Fresh-Brown-Grade-A
26,Hy-Vee Grade A Large Eggs,$1.39,,6 ct,https://www.hy-vee.com/aisles-online/p/57237/HyVee-Grade-A-Large-Eggs
27,Farmers Hen House Organic Large Brown Eggs,$3.69,,6 ct,https://www.hy-vee.com/aisles-online/p/190508/Farmers-Hen-House-Organic-Large-Brown-Eggs
