Bacon,Current Price,Orignal Price,Weight in lbs,True Weight,Brand,Local,Address,State,City,Zip Code,Date Collected,Url
HARDWOOD UNCURED BACON,10.99,10.99,0.75,Size: 12 OZ,Dm bacon co,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-06-22,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18483
APPLEWOOD SMOKED BACON,10.99,10.99,0.75,Size: 12 OZ,Des moines bacon co.,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-06-22,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18485
SLICED SLAB BACON,7.99,9.99,7.99,7.99 lb,Webster city,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-06-22,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-24190
BERKWOOD APPLEWOOD BACON,11.99,11.99,,11.99/ea,Berkwood farms,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-06-22,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18553
BERKWOOD HICKORY BACON,12.99,12.99,0.75,Size: 12 OZ,Berkwood farms,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-06-22,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-33732
UNCURED CANADIAN BACON,9.99,9.99,0.4375,Size: 7 OZ,Niman ranch,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,2023-06-22,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18521
BACK BACON,9.99,9.99,0.5,Size: 8 OZ,Jolly posh,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,2023-06-22,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18548
SMOKED SLICED BACON,13.99,13.99,0.75,Size: 12 OZ,Nueske,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,2023-06-22,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18469
PECANWOOD BACON,10.99,10.99,0.75,Size: 12 OZ,Berkwood farms,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-06-22,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-33734
PEPPERED BACON,12.99,12.99,0.75,Size: 12 OZ,Berkwood farms,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-06-22,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-33736
NO SUGAR BACON,12.99,12.99,0.75,Size: 12 OZ,Berkwood farms,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-06-22,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-33731
BACON HICKORY SMOKED,8.99,8.99,0.75,Size: 12 OZ,De bruin ranch,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,2023-06-22,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-29349
NIMAN RANCH UNCURED BACON,12.99,12.99,0.75,Size: 12 OZ,Niman ranch,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,2023-06-22,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18524
