Bacon,Current Price,Orignal Price,Weight in lbs,True Weight,Brand,Local,Address,State,City,Zip Code,Date Collected,Url
Hormel Black Label Thick Cut Bacon,8.39,8.39,1.0,16 oz,Hormel,Non-local,NA,NA,NA,NA,2023-06-23,https://www.hy-vee.com/aisles-online/p/11315/Hormel-Black-Label-Thick-Cut-Bacon
Hormel Black Label Fully Cooked Original Thick Cut Bacon,4.79,5.49,0.1575,2.52 oz,Hormel,Non-local,NA,NA,NA,NA,2023-06-23,https://www.hy-vee.com/aisles-online/p/47128/Hormel-Black-Label-Fully-Cooked-Original-Thick-Cut-Bacon
Applegate Naturals Uncured Sunday Bacon Hickory Smoked,5.48,6.49,0.5,8 oz,Applegate,Non-local,NA,NA,NA,NA,2023-06-23,https://www.hy-vee.com/aisles-online/p/41626/Applegate-Naturals-Uncured-Sunday-Bacon-Hickory-Smoked
Hy-Vee Double Smoked Thick Sliced Bacon,4.79,6.99,1.0,16 oz Pack,Hy-vee,Local,NA,NA,NA,NA,2023-06-23,https://www.hy-vee.com/aisles-online/p/57278/HyVee-Double-Smoked-Thick-Sliced-Bacon
Applegate Naturals No Sugar Uncured Bacon Hickory Smoked,5.48,6.49,0.5,8 oz Pack,Applegate,Non-local,NA,NA,NA,NA,2023-06-23,https://www.hy-vee.com/aisles-online/p/2405550/Applegate-Naturals-No-Sugar-Uncured-Bacon-Hickory-Smoked
Hy-Vee Sweet Smoked Bacon,4.79,6.99,1.0,16 oz Package,Hy-vee,Local,NA,NA,NA,NA,2023-06-23,https://www.hy-vee.com/aisles-online/p/57279/HyVee-Sweet-Smoked-Bacon
Hormel Black Label Original Bacon,8.39,8.39,1.0,16 oz Pack,Hormel,Non-local,NA,NA,NA,NA,2023-06-23,https://www.hy-vee.com/aisles-online/p/11366/Hormel-Black-Label-Original-Bacon
Jimmy Dean Premium Hickory Smoked Bacon,6.29,6.49,0.75,12 oz Package,Jimmy dean,Non-local,NA,NA,NA,NA,2023-06-23,https://www.hy-vee.com/aisles-online/p/2455081/Jimmy-Dean-Premium-Hickory-Smoked-Bacon
"Farmland Bacon, Double Smoked, Double Thick Cut",7.39,7.39,0.75,12 oz,Farmland,Non-local,NA,NA,NA,NA,2023-06-23,https://www.hy-vee.com/aisles-online/p/3595492/Farmland-Bacon-Double-Smoked-Double-Thick-Cut
Hormel Black Label Center Cut Bacon,8.39,8.39,0.75,12 oz Pack,Hormel,Non-local,NA,NA,NA,NA,2023-06-23,https://www.hy-vee.com/aisles-online/p/47117/Hormel-Black-Label-Center-Cut-Bacon
Hy-Vee Center Cut Bacon,4.79,6.99,0.75,12 oz Pack,Hy-vee,Local,NA,NA,NA,NA,2023-06-23,https://www.hy-vee.com/aisles-online/p/57277/HyVee-Center-Cut-Bacon
