Bacon,Current Price,Orignal Price,Weight in lbs,True Weight,Brand,Local,Address,State,City,Zip Code,Date Collected,Url
"Hormel Black Label Thick Cut Bacon, 1 Lb",5.49,7.99,1.0,16 oz,Hormel black label,Local,900 South Locust Street,IA,Glenwood,51534,2023-06-24,https://www.russmarket.com/shop/meat/bacon/sliced/hormel_black_label_thick_cut_bacon_1_lb/p/229335
"Hormel® Black Label® Original Bacon, 16 Ounce",5.49,7.99,1.0,16 oz,Hormel black label,Local,900 South Locust Street,IA,Glenwood,51534,2023-06-24,https://www.russmarket.com/shop/meat/bacon/sliced/hormel_black_label_original_bacon_16_ounce/p/2349369
Mullan Road Bacon,15.99,15.99,3.0,3 lb,Mullan road,Non-local,900 South Locust Street,IA,Glenwood,51534,2023-06-24,https://www.russmarket.com/shop/meat/bacon/mullan_road_bacon/p/5220311
Prairie Fresh Signature Applewood Smoked Bacon Pork Loin Filet 27.2 Oz,6.99,8.99,1.7,27.2 oz,Prairie fresh,Local,900 South Locust Street,IA,Glenwood,51534,2023-06-24,https://www.russmarket.com/shop/meat/bacon/prairie_fresh_signature_applewood_smoked_bacon_pork_loin_filet_27_2_oz/p/6828650
"Farmland Bacon, Thick Cut, Naturally Hickory Smoked",10.99,12.99,1.5,24 oz,Farmland,Non-local,900 South Locust Street,IA,Glenwood,51534,2023-06-24,https://www.russmarket.com/shop/meat/bacon/farmland_bacon_thick_cut_naturally_hickory_smoked/p/571658
Sliced Slab Bacon,3.99,3.99,1.0,lb,,,900 South Locust Street,IA,Glenwood,51534,2023-06-24,https://www.russmarket.com/shop/meat/bacon/sliced_slab_bacon/p/1564405684712590572
Smithfield Naturally Hickory Smoked Hometown Original Bacon,2.99,6.99,0.75,12 oz,Smithfield,Non-local,900 South Locust Street,IA,Glenwood,51534,2023-06-24,https://www.russmarket.com/shop/meat/bacon/sliced/smithfield_naturally_hickory_smoked_hometown_original_bacon/p/3142755
Jamestown Economy Sliced Bacon 16 Oz,4.49,4.49,1.0,16 oz,Jamestown,Non-local,900 South Locust Street,IA,Glenwood,51534,2023-06-24,https://www.russmarket.com/shop/meat/bacon/sliced/jamestown_economy_sliced_bacon_16_oz/p/180026
Smithfield® Naturally Hickory Smoked Thick Cut Bacon 12 Oz. Pack,2.99,6.99,0.75,12 oz,Smithfield,Non-local,900 South Locust Street,IA,Glenwood,51534,2023-06-24,https://www.russmarket.com/shop/meat/bacon/sliced/smithfield_naturally_hickory_smoked_thick_cut_bacon_12_oz_pack/p/3142757
"Smithfield Bacon, Thick Cut 12 Oz",2.99,6.99,0.75,12 oz,Smithfield,Non-local,900 South Locust Street,IA,Glenwood,51534,2023-06-24,https://www.russmarket.com/shop/meat/bacon/sliced/smithfield_bacon_thick_cut_12_oz/p/2101085
"Farmland Naturally Hickory Smoked Classic Cut Bacon, 16 Oz",4.99,8.99,1.0,16 oz,Farmland,Non-local,900 South Locust Street,IA,Glenwood,51534,2023-06-24,https://www.russmarket.com/shop/meat/bacon/sliced/farmland_naturally_hickory_smoked_classic_cut_bacon_16_oz/p/2376191
"Farmland Naturally Hickory Smoked Thick Cut Bacon, 16 Oz",4.99,8.99,1.0,16 oz,Farmland,Non-local,900 South Locust Street,IA,Glenwood,51534,2023-06-24,https://www.russmarket.com/shop/meat/bacon/sliced/farmland_naturally_hickory_smoked_thick_cut_bacon_16_oz/p/95721
"Farmland Naturally Applewood Smoked Bacon, 16 Oz",4.99,8.99,1.0,16 oz,Farmland,Non-local,900 South Locust Street,IA,Glenwood,51534,2023-06-24,https://www.russmarket.com/shop/meat/bacon/sliced/farmland_naturally_applewood_smoked_bacon_16_oz/p/585815
"Hormel Black Label Microwave Ready Bacon, 12 Oz",8.69,8.69,0.75,12 oz,Hormel black label,Local,900 South Locust Street,IA,Glenwood,51534,2023-06-24,https://www.russmarket.com/shop/meat/bacon/sliced/hormel_black_label_microwave_ready_bacon/p/26151
Oscar Mayer Original Bacon 16 Oz,6.99,9.99,1.0,16 oz,Oscar mayer,Non-local,900 South Locust Street,IA,Glenwood,51534,2023-06-24,https://www.russmarket.com/shop/meat/bacon/sliced/oscar_mayer_original_bacon_16_oz/p/32303
Big Buy Hardwood Smoked Bacon,3.79,3.79,1.0,1 lb,Big buy,Non-local,900 South Locust Street,IA,Glenwood,51534,2023-06-24,https://www.russmarket.com/shop/meat/bacon/sliced/big_buy_hardwood_smoked_bacon/p/2101073
"Oscar Mayer Turkey Bacon, Original 12 Oz",4.79,4.99,0.75,12 oz,Oscar mayer,Non-local,900 South Locust Street,IA,Glenwood,51534,2023-06-24,https://www.russmarket.com/shop/meat/bacon/turkey/oscar_mayer_turkey_bacon_original_12_oz/p/39809
"Farmland Bacon, Low Sodium, Hickory Smoked 16 Oz",4.99,8.99,1.0,16 oz,Farmland,Non-local,900 South Locust Street,IA,Glenwood,51534,2023-06-24,https://www.russmarket.com/shop/meat/bacon/sliced/farmland_bacon_low_sodium_hickory_smoked_16_oz/p/2376192
"Farmland Bacon, Double Smoked, Double Thick Cut 12 Oz",4.99,8.99,0.75,12 oz,Farmland,Non-local,900 South Locust Street,IA,Glenwood,51534,2023-06-24,https://www.russmarket.com/shop/meat/bacon/canadian/farmland_bacon_double_smoked_double_thick_cut_12_oz/p/1564405684713224952
Hormel® Black Label® Naturally Hardwood Smoked 97% Fat Free Canadian Bacon 6 Oz. Zip Pak®,3.99,3.99,0.375,6.0 oz,Hormel black label,Local,900 South Locust Street,IA,Glenwood,51534,2023-06-24,https://www.russmarket.com/shop/meat/bacon/canadian/hormel_black_label_naturally_hardwood_smoked_97_fat_free_canadian_bacon_6_oz_zip_pak/p/26168
"Oscar Mayer Bacon, Original 8 Oz",3.79,4.49,0.5,8 oz,Oscar mayer,Non-local,900 South Locust Street,IA,Glenwood,51534,2023-06-24,https://www.russmarket.com/shop/meat/bacon/sliced/oscar_mayer_bacon_original_8_oz/p/32302
