Tomatoes,Current Price,Orignal Price,Weight in lbs,True Weight,Brand,Organic,Local,Address,State,City,Zip Code,Date Collected,Url
TOMATOES KALEIDOS,5.99,5.99,0.75,Size: 12oz,Wholesum harvest,,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-28349
TOMATOES OG,2.99,2.99,,$1.20/ea avg Average per unit price,,True,,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-22501
TOMATO POPPIES OG,5.99,5.99,0.75,Size: 12 OZ,,True,,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-11861
TOMATOES DARLING OG,5.99,5.99,0.75,Size: 12 OZ,,True,,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-26358
TOMATO ROMA ORGANIC,2.49,2.49,,$0.62/ea avg Average per unit price,,True,,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-22515
TOMATO ON VINE OG,3.49,3.49,,$1.22/ea avg Average per unit price,,True,,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-22617
TOMATOES HEIRLOOM CHERRY MIX,5.99,5.99,,Size: 1 PINT,Del cabo,,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-11820
CHERRY TOMATO,2.99,2.99,,Size: 1 PINT,Sunnyvalley,,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-11756
TOMATOES CHERRY LOCAL,5.99,5.99,,Size: 1 PT,,,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-22341
TOMATOES HEIRLOOM LOCAL,6.49,6.49,1.0,6.49/lb,,,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-22343
TOMATOES CHERRY BRITES,5.99,5.99,0.75,Size: 12 OZ.,Wholesum,,,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-28492
GOLD PLUM TOMATOES,5.99,5.99,1.0,Size: 16 OZ,Del cabo,,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-29803
TOMATO GRAPE DARLING OG,5.99,5.99,0.75,Size: 12 OZ,Wholesum harvest,True,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-11787
TOMATO EVA PURPLE BALL,2.99,2.99,,Size: 1 CT,Seed savers,,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-35543
TOMATO GERMAN PINK,2.99,2.99,,2.99/ea,Seed savers,,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-11972
TOMATO ITAL HEIRLOOM,2.99,2.99,,2.99/ea,Seed savers,,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-11973
TOMATO NEB WEDDING,2.99,2.99,,2.99/ea,Seed savers,,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-11975
TOMATO MORT LIFTER,2.99,2.99,,2.99/ea,Seed savers,,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-12014
TOMATO GREEN ZEBRA,2.99,2.99,,2.99/ea,Seed savers,,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-43100
TOMATO GRAPE FRENZY OG,4.99,4.99,0.625,Size: 10OZ,,True,,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-35365
SEED SAVERS EXCHANGE SEEDS CHERRY ROMA TOMATO,2.99,2.99,,Size: 1 CT,Seed savers,,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-35542
