Tomatoes,Current Price,Orignal Price,Weight in lbs,True Weight,Brand,Organic,Local,Address,State,City,Zip Code,Date Collected,Url
Roma Tomatoes,0.45,0.5,0.25,0.25 lbs (1.79/lb),,,,NA,NA,NA,NA,2023-07-03,https://www.hy-vee.com/aisles-online/p/8657/Roma-Tomatoes
Tomatoes on the Vine,0.74,0.9,0.3,0.30 lbs (2.48/lb),,,,NA,NA,NA,NA,2023-07-03,https://www.hy-vee.com/aisles-online/p/8824/Tomatoes-on-the-Vine
Basket & Bushel Grape Tomatoes,3.19,3.32,,1 pint Clam Shell,Basket & bushel,,Local,NA,NA,NA,NA,2023-07-03,https://www.hy-vee.com/aisles-online/p/3538538/Basket-And-Bushel-Grape-Tomatoes
Basket & Bushel Gourmet Medley Tomatoes,2.99,3.99,,1 pint Container,Basket & bushel,,Local,NA,NA,NA,NA,2023-07-03,https://www.hy-vee.com/aisles-online/p/3538540/Basket-And-Bushel-Gourmet-Medley-Tomatoes
NatureSweet Cherub Tomatoes,3.49,4.49,0.65625,10.5 oz,,,,NA,NA,NA,NA,2023-07-03,https://www.hy-vee.com/aisles-online/p/2973805/NatureSweet-Cherub-Tomatoes
Greenhouse Tomatoes,1.25,1.5,0.5,0.50 lbs (2.49/lb),,,,NA,NA,NA,NA,2023-07-03,https://www.hy-vee.com/aisles-online/p/8854/Greenhouse-Tomatoes
Angel Sweet Tomatoes Snack Cup,4.19,4.19,0.625,10 oz Container,Angel sweet,,Non-local,NA,NA,NA,NA,2023-07-03,https://www.hy-vee.com/aisles-online/p/3758077/Angel-Sweet-Tomatoes-Snack-Cup
Nature Sweet Cherubs,8.39,8.99,1.5,24 oz Plastic Container,Nature sweet,,Non-local,NA,NA,NA,NA,2023-07-03,https://www.hy-vee.com/aisles-online/p/793206/Nature-Sweet-Cherubs
Full Circle Market Organic Grape Tomatoes,4.19,4.19,,1 pt,Full circle market,True,Local,NA,NA,NA,NA,2023-07-03,https://www.hy-vee.com/aisles-online/p/3128235/Full-Circle-Market-Organic-Grape-Tomatoes
Sunset Campari Tomatoes,6.29,6.29,1,1 lb Clamshell,Sunset,,Non-local,NA,NA,NA,NA,2023-07-03,https://www.hy-vee.com/aisles-online/p/410515/Sunset-Campari-Tomatoes
Sunset Flavor Bombs Cherry Tomatoes on Vine,6.29,6.29,0.75,12 oz Clam Shell,Sunset,,Non-local,NA,NA,NA,NA,2023-07-03,https://www.hy-vee.com/aisles-online/p/3009875/Sunset-Flavor-Bombs-Cherry-Tomatoes-on-Vine
Basket & Bushel One Sweet Tomatoes,2.99,3.99,,1 pint Container,Basket & bushel,,Local,NA,NA,NA,NA,2023-07-03,https://www.hy-vee.com/aisles-online/p/3538539/Basket-And-Bushel-One-Sweet-Tomatoes
Basket & Bushel Grape Tomatoes,6.29,6.99,1.5,24 oz Container,Basket & bushel,,Local,NA,NA,NA,NA,2023-07-03,https://www.hy-vee.com/aisles-online/p/3538537/Basket-And-Bushel-Grape-Tomatoes
Heirloom Tomatoes,2.1,2.5,0.5,0.50 lbs (4.19/lb),,,,NA,NA,NA,NA,2023-07-03,https://www.hy-vee.com/aisles-online/p/37174/Heirloom-Tomatoes
Sugar Bomb Tomatoes,6.29,6.29,0.75,12 oz Package,,,,NA,NA,NA,NA,2023-07-03,https://www.hy-vee.com/aisles-online/p/2850121/Sugar-Bomb-Tomatoes
Basket & Bushel Zima Tomatoes,4.19,4.19,,1 pint Container,Basket & bushel,,Local,NA,NA,NA,NA,2023-07-03,https://www.hy-vee.com/aisles-online/p/3538541/Basket-And-Bushel-Zima-Tomatoes
Basket & Bushel Mini Kumato Tomatoes,4.19,4.19,,1 pint Container,Basket & bushel,,Local,NA,NA,NA,NA,2023-07-03,https://www.hy-vee.com/aisles-online/p/3538542/Basket-And-Bushel-Mini-Kumato-Tomatoes
"Sunset Tomatoes, Organic, Campari",6.29,6.29,0.75,12 oz Clamshell,Sunset,True,Non-local,NA,NA,NA,NA,2023-07-03,https://www.hy-vee.com/aisles-online/p/491714/Sunset-Tomatoes-Organic-Campari
Cherry Tomatoes,3.19,3.99,,1 pt,,,,NA,NA,NA,NA,2023-07-03,https://www.hy-vee.com/aisles-online/p/37463/Cherry-Tomatoes
