Eggs,Current Price,Orignal Price,Amount in dz,True Amount,Brand,Local,Address,State,City,Zip Code,Date Collected,Url,Store
Vital Farms Pasture Raised Large Eggs - 1 Each,6.49,8.99,1.0,1 dz,Vital farms,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
Eggland's Best Cage Free Large Brown Eggs - 1 Each,5.29,5.29,1.0,1 dz,Eggland's best,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
Fresh Thyme Cage Free Organic Medium Grade A Brown Eggs - 1.5 Each,6.99,6.99,1.5,1.5 dz,Fresh thyme,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
Fresh Thyme Cage Free Large Grade A White Eggs - 1.5 Each,5.49,5.49,1.5,1.5 dz,Fresh thyme,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
Fresh Thyme Cage Free Large Grade A White Eggs - 1 Each,3.99,3.99,1.0,1 dz,Fresh thyme,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
Fresh Thyme Cage Free Large Grade A Brown Eggs - 1 Each,3.99,3.99,1.0,1 dz,Fresh thyme,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
Vital Farms Organic Pasture Raised Large Eggs - 1 Each,7.49,9.99,1.0,1 dz,Vital farms,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
Fresh Thyme Cage Free Large Grade A White Eggs - 1.5 Each,5.49,5.49,1.5,1.5 dz,Fresh thyme,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
Fresh Thyme Cage Free Organic Medium Grade A Brown Eggs - 1.5 Each,6.99,6.99,1.5,1.5 dz,Fresh thyme,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
Fresh Thyme Cage Free Large Grade A White Eggs - 1 Each,3.99,3.99,1.0,1 dz,Fresh thyme,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
Fresh Thyme Cage Free Large Grade A Brown Eggs - 1 Each,3.99,3.99,1.0,1 dz,Fresh thyme,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
Fresh Thyme Cage Free Jumbo Grade A Brown Eggs - 1 Each,4.79,4.79,1.0,1 dz,Fresh thyme,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
Eggland's Best Cage Free Large Brown Eggs - 1 Each,5.29,5.29,1.0,1 dz,Eggland's best,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
Born Free Large Brown Free Range Eggs - 12 Each,5.49,5.49,1.0,1 dz,Born free,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
Beaver Creek Farm Medium Organic Brown Eggs - 1 Each,4.49,4.49,1.0,1 dz,Beaver creek farm,Local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
Eggland's Best Organic Large Brown Eggs - 1 Each,6.99,6.99,1.0,1 dz,Eggland's best,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
