Tomatoes,Current Price,Orignal Price,Weight in lbs,True Weight,Brand,Organic,Local,Address,State,City,Zip Code,Date Collected,Url,Store
Beefsteak Tomatoes - 0.3 Pound,0.6,0.6,0.3,0.3 lb,,,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables,Fresh Thyme 
Nature Fresh Organic Red Hiiros Cherry Tomatoes - 10 Ounce,3.99,3.99,0.625,10 oz,Nature fresh,True,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables,Fresh Thyme 
Organic Roma Tomatoes 1 Lb Bag - 1 Each,2.99,2.99,1.0,1 lb bag,,True,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables,Fresh Thyme 
Organic On The Vine Cluster Tomatoes - 1.5 Pound,5.99,5.99,1.5,1.5 lb,,True,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables,Fresh Thyme 
Flavor Bombs Cherry Tomatoes On The Vine - 12 Ounce,4.99,4.99,0.75,12 oz,,,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables,Fresh Thyme 
Organic Grape Tomatoes Pint - 1 Each,3.99,3.99,,pint - 1 each,,True,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables,Fresh Thyme 
Wild Wonders Tomatoes - 12 Ounce,3.99,3.99,0.75,12 oz,Wild wonders,,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables,Fresh Thyme 
Nature Sweet Cherub Tomatoes - 10 Ounce,3.99,3.99,0.625,10 oz,Nature sweet,,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables,Fresh Thyme 
Organic Darkloom Tomato - 0.8 Pound,3.99,3.99,0.8,0.8 lb,,True,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables,Fresh Thyme 
Organic Sangria Tomatoes - 10 Ounce,3.99,3.99,0.625,10 oz,,True,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables,Fresh Thyme 
On The Vine Cluster Tomatoes - 0.8 Pound,1.59,1.59,0.8,0.8 lb,,,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables,Fresh Thyme 
Organic Beefsteak Tomatoes - 10 Ounce,3.99,3.99,0.625,10 oz,,True,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables,Fresh Thyme 
Grape Tomatoes Pint - 1 Each,2.99,2.99,,pint - 1 each,,,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables,Fresh Thyme 
Cocktail Tomatoes (campari) - 16 Ounce,2.5,3.99,1.0,16 oz,,,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables,Fresh Thyme 
