Tomatoes,Current Price,Orignal Price,Weight in lbs,True Weight,Brand,Organic,Local,Address,State,City,Zip Code,Date Collected,Url
Roma Tomatoes,1.59,1.59,1.0,$1.59/lb,,,,900 South Locust Street,IA,Glenwood,51534,2023-07-05,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/roma_tomatoes/p/12447#!/?department_id=22508184
Tomatoes On The Vine,2.49,2.49,1.0,$2.49/lb,,,,900 South Locust Street,IA,Glenwood,51534,2023-07-05,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/tomatoes_on_the_vine/p/2311660#!/?department_id=22508184
Tomatoes Grape,2.49,2.49,,1 pt,,,,900 South Locust Street,IA,Glenwood,51534,2023-07-05,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/tomatoes_grape/p/1564405684709718017#!/?department_id=22508184
Tomatoes Grape,2.49,2.49,,1 pt,,,,900 South Locust Street,IA,Glenwood,51534,2023-07-05,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/nature_sweet_cherubs_heavenly_salad_tomatoes_10_oz/p/1564405684704878585#!/?department_id=22508184
Nature Sweet Cherubs Heavenly Salad Tomatoes 10 Oz,4.49,4.49,0.625,10 oz,Nature sweet,,Non-local,900 South Locust Street,IA,Glenwood,51534,2023-07-05,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/on_vine_cherry_tomatoes/p/645688#!/?department_id=22508184
On Vine Cherry Tomatoes,2.99,2.99,0.5625,9 oz,,,,900 South Locust Street,IA,Glenwood,51534,2023-07-05,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/org_cherry_tomatoes/p/151480#!/?department_id=22508184
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,900 South Locust Street,IA,Glenwood,51534,2023-07-05,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/red_sun_farms_sweet_pops_tomatoes_10_oz/p/1564405684704089139#!/?department_id=22508184
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,900 South Locust Street,IA,Glenwood,51534,2023-07-05,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/nature_sweet_tomatoes_fresh_ingredient_10_oz/p/1564405684704878584#!/?department_id=22508184
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,900 South Locust Street,IA,Glenwood,51534,2023-07-05,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/naturesweet_constellation_tomatoes/p/1564405684705657728#!/?department_id=22508184
"Regular Red Tomato, Large",1.29,2.49,1.0,$1.29/lb,,,,900 South Locust Street,IA,Glenwood,51534,2023-07-05,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/regular_red_tomato_large/p/12409#!/?department_id=22508184
