Eggs,Current Price,Orignal Price,Amount in dz,True Amount,Brand,Local,Address,State,City,Zip Code,Latitude,Longitude,Store,Date Collected,Url
Fresh Thyme Cage Free Organic Medium Grade A Brown Eggs - 1.5 Each,6.99,6.99,1.5,1.5 dz,Fresh thyme,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Fresh Thyme Cage Free Large Grade A White Eggs - 1.5 Each,5.49,5.49,1.5,1.5 dz,Fresh thyme,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Fresh Thyme Cage Free Large Grade A White Eggs - 1 Each,3.99,3.99,1.0,1 dz,Fresh thyme,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Fresh Thyme Cage Free Large Grade A Brown Eggs - 1 Each,3.99,3.99,1.0,1 dz,Fresh thyme,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Fresh Thyme Cage Free Jumbo Grade A Brown Eggs - 1 Each,4.79,4.79,1.0,1 dz,Fresh thyme,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Eggland's Best Cage Free Large Brown Eggs - 1 Each,5.29,5.29,1.0,1 dz,Eggland's best,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Eggland's Best Organic Large Brown Eggs - 1 Each,6.99,6.99,1.0,1 dz,Eggland's best,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Born Free Large Brown Free Range Eggs - 12 Each,5.49,5.49,1.0,1 dz,Born free,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Happy Egg Heritage Breed Eggs - 1 Each,7.49,8.99,1.0,1 dz,Happy egg,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Happy Egg Free Range Large Grade A Brown Eggs - 1 Each,5.49,6.49,1.0,1 dz,Happy egg,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
