Tomatoes,Current Price,Orignal Price,Weight in lbs,True Weight,Organic,Brand,Local,Address,State,City,Zip Code,Latitude,Longitude,Store,Date Collected,Url
Beefsteak Tomatoes - 0.3 Pound,0.6,0.6,0.3,0.3 lb,,,,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Nature Sweet Cherub Tomatoes - 10 Ounce,3.99,3.99,0.625,10 oz,,Nature sweet,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Organic Grape Tomatoes Pint - 1 Each,3.99,3.99,,pint - 1 each,True,,,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Organic Sangria Tomatoes - 10 Ounce,3.99,3.99,0.625,10 oz,True,,,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Wild Wonders Tomatoes - 12 Ounce,3.99,3.99,0.75,12 oz,,Wild wonders,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Organic Beefsteak Tomatoes - 10 Ounce,3.99,3.99,0.625,10 oz,True,,,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Organic Darkloom Tomato - 0.8 Pound,3.99,3.99,0.8,0.8 lb,True,,,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Grape Tomatoes Pint - 1 Each,2.99,2.99,,pint - 1 each,,,,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Cocktail Tomatoes (campari) - 16 Ounce,2.99,3.99,1.0,16 oz,,,,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Beefsteak Tomatoes - 0.3 Pound,0.6,0.6,0.3,0.3 lb,,,,2130 E. Kimberly Rd.,IA,Davenport,52807,41.5570122,-90.5461028,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
On The Vine Cluster Tomatoes - 0.8 Pound,1.59,1.59,0.8,0.8 lb,,,,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Nature Fresh Organic Red Hiiros Cherry Tomatoes - 10 Ounce,2.99,3.99,0.625,10 oz,True,Nature fresh,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,41.5570122,-90.5461028,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Nature Fresh Organic Red Hiiros Cherry Tomatoes - 10 Ounce,2.99,3.99,0.625,10 oz,True,Nature fresh,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,41.5570122,-90.5461028,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Organic Roma Tomatoes 1 Lb Bag - 1 Each,2.99,2.99,1.0,1 lb bag,True,,,2130 E. Kimberly Rd.,IA,Davenport,52807,41.5570122,-90.5461028,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Flavor Bombs Cherry Tomatoes On The Vine - 12 Ounce,2.99,4.99,0.75,12 oz,,,,2130 E. Kimberly Rd.,IA,Davenport,52807,41.5570122,-90.5461028,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Organic Grape Tomatoes Pint - 1 Each,3.99,3.99,,pint - 1 each,True,,,2130 E. Kimberly Rd.,IA,Davenport,52807,41.5570122,-90.5461028,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Wild Wonders Tomatoes - 12 Ounce,3.99,3.99,0.75,12 oz,,Wild wonders,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,41.5570122,-90.5461028,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Organic On The Vine Cluster Tomatoes - 1.5 Pound,5.99,5.99,1.5,1.5 lb,True,,,2130 E. Kimberly Rd.,IA,Davenport,52807,41.5570122,-90.5461028,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Nature Sweet Cherub Tomatoes - 10 Ounce,3.99,3.99,0.625,10 oz,,Nature sweet,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,41.5570122,-90.5461028,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Organic Darkloom Tomato - 0.8 Pound,3.99,3.99,0.8,0.8 lb,True,,,2130 E. Kimberly Rd.,IA,Davenport,52807,41.5570122,-90.5461028,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Organic Sangria Tomatoes - 10 Ounce,3.99,3.99,0.625,10 oz,True,,,2130 E. Kimberly Rd.,IA,Davenport,52807,41.5570122,-90.5461028,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Organic Beefsteak Tomatoes - 10 Ounce,3.99,3.99,0.625,10 oz,True,,,2130 E. Kimberly Rd.,IA,Davenport,52807,41.5570122,-90.5461028,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
On The Vine Cluster Tomatoes - 0.8 Pound,1.59,1.59,0.8,0.8 lb,,,,2130 E. Kimberly Rd.,IA,Davenport,52807,41.5570122,-90.5461028,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Cocktail Tomatoes (campari) - 16 Ounce,2.99,3.99,1.0,16 oz,,,,2130 E. Kimberly Rd.,IA,Davenport,52807,41.5570122,-90.5461028,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Grape Tomatoes - 1.5 Pound,4.99,4.99,1.5,1.5 lb,,,,2130 E. Kimberly Rd.,IA,Davenport,52807,41.5570122,-90.5461028,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Roma Tomatoes - 0.75 Pound,1.19,1.19,0.75,0.75 lb,,,,2130 E. Kimberly Rd.,IA,Davenport,52807,41.5570122,-90.5461028,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Grape Tomatoes Pint - 1 Each,2.99,2.99,,pint - 1 each,,,,2130 E. Kimberly Rd.,IA,Davenport,52807,41.5570122,-90.5461028,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Nature Fresh Organic Red Hiiros Cherry Tomatoes - 10 Ounce,2.99,3.99,0.625,10 oz,True,Nature fresh,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Nature Fresh Organic Red Hiiros Cherry Tomatoes - 10 Ounce,2.99,3.99,0.625,10 oz,True,Nature fresh,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Organic On The Vine Cluster Tomatoes - 1.5 Pound,5.99,5.99,1.5,1.5 lb,True,,,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Flavor Bombs Cherry Tomatoes On The Vine - 12 Ounce,2.99,4.99,0.75,12 oz,,,,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Heirloom Tomatoes - 0.8 Pound,3.99,3.99,0.8,0.8 lb,,,,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Organic Roma Tomatoes 1 Lb Bag - 1 Each,2.99,2.99,1.0,1 lb bag,True,,,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Grape Tomatoes - 1.5 Pound,4.99,4.99,1.5,1.5 lb,,,,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Roma Tomatoes - 0.75 Pound,1.19,1.19,0.75,0.75 lb,,,,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
TOMATOES KALEIDOS,5.99,5.99,0.75,Size: 12oz,,Wholesum harvest,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-28349
TOMATOES OG,2.99,2.99,,$1.20/ea avg Average per unit price,True,,,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-22501
TOMATO POPPIES OG,5.99,5.99,0.75,Size: 12 OZ,True,,,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-11861
TOMATOES DARLING OG,5.99,5.99,0.75,Size: 12 OZ,True,,,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-26358
TOMATO ROMA ORGANIC,2.49,2.49,,$0.62/ea avg Average per unit price,True,,,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-22515
TOMATO ON VINE OG,3.49,3.49,,$1.22/ea avg Average per unit price,True,,,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-22617
TOMATOES HEIRLOOM CHERRY MIX,5.99,5.99,,Size: 1 PINT,,Del cabo,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-11820
CHERRY TOMATO,2.99,2.99,,Size: 1 PINT,,Sunnyvalley,Local,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-11756
TOMATOES CHERRY LOCAL,4.99,4.99,,Size: 1 PT,,,Local,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-22341
TOMATOES HEIRLOOM LOCAL,6.49,6.49,1.0,6.49/lb,,,Local,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-22343
TOMATOES CHERRY BRITES,5.99,5.99,0.75,Size: 12 OZ.,,Wholesum,,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-28492
GOLD PLUM TOMATOES,5.99,5.99,1.0,Size: 16 OZ,,Del cabo,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-29803
TOMATO GRAPE DARLING OG,5.99,5.99,0.75,Size: 12 OZ,True,Wholesum harvest,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-11787
TOMATO EVA PURPLE BALL,2.99,2.99,,Size: 1 CT,,Seed savers,Local,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-35543
TOMATO GERMAN PINK,2.99,2.99,,2.99/ea,,Seed savers,Local,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-11972
TOMATO ITAL HEIRLOOM,2.99,2.99,,2.99/ea,,Seed savers,Local,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-11973
TOMATO NEB WEDDING,2.99,2.99,,2.99/ea,,Seed savers,Local,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-11975
TOMATO MORT LIFTER,2.99,2.99,,2.99/ea,,Seed savers,Local,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-12014
TOMATO GREEN ZEBRA,2.99,2.99,,2.99/ea,,Seed savers,Local,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-43100
TOMATO GRAPE FRENZY OG,4.99,4.99,0.625,Size: 10OZ,True,,,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-35365
SEED SAVERS EXCHANGE SEEDS CHERRY ROMA TOMATO,2.99,2.99,,Size: 1 CT,,Seed savers,Local,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-35542
Roma Tomatoes,0.45,0.5,0.25,0.25 lbs (1.79/lb),,,,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/8657/Roma-Tomatoes
Tomatoes on the Vine,0.9,0.9,0.3,0.30 lbs (2.99/lb),,,,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/8824/Tomatoes-on-the-Vine
Basket & Bushel Grape Tomatoes,3.19,3.32,,1 pint Clam Shell,,Basket & bushel,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/3538538/Basket-And-Bushel-Grape-Tomatoes
Basket & Bushel Gourmet Medley Tomatoes,4.19,4.19,,1 pint Container,,Basket & bushel,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/3538540/Basket-And-Bushel-Gourmet-Medley-Tomatoes
NatureSweet Cherub Tomatoes,4.19,4.19,0.65625,10.5 oz,,,,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/2973805/NatureSweet-Cherub-Tomatoes
Greenhouse Tomatoes,1.36,1.64,0.55,0.55 lbs (2.48/lb),,,,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/8854/Greenhouse-Tomatoes
Angel Sweet Tomatoes Snack Cup,4.19,4.19,0.625,10 oz Container,,Angel sweet,Non-local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/3758077/Angel-Sweet-Tomatoes-Snack-Cup
Nature Sweet Cherubs,8.39,8.99,1.5,24 oz Plastic Container,,Nature sweet,Non-local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/793206/Nature-Sweet-Cherubs
Full Circle Market Organic Grape Tomatoes,4.19,4.19,,1 pt,True,Full circle market,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/3128235/Full-Circle-Market-Organic-Grape-Tomatoes
Sunset Campari Tomatoes,6.29,6.29,1.0,1 lb Clamshell,,Sunset,Non-local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/410515/Sunset-Campari-Tomatoes
Sunset Flavor Bombs Cherry Tomatoes on Vine,6.29,6.29,0.75,12 oz Clam Shell,,Sunset,Non-local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/3009875/Sunset-Flavor-Bombs-Cherry-Tomatoes-on-Vine
Basket & Bushel One Sweet Tomatoes,4.19,4.19,,1 pint Container,,Basket & bushel,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/3538539/Basket-And-Bushel-One-Sweet-Tomatoes
Basket & Bushel Grape Tomatoes,6.29,6.99,1.5,24 oz Container,,Basket & bushel,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/3538537/Basket-And-Bushel-Grape-Tomatoes
Heirloom Tomatoes,2.3,2.74,0.55,0.55 lbs (4.19/lb),,,,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/37174/Heirloom-Tomatoes
Sugar Bomb Tomatoes,6.29,6.29,0.75,12 oz Package,,,,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/2850121/Sugar-Bomb-Tomatoes
Basket & Bushel Zima Tomatoes,4.19,4.19,,1 pint Container,,Basket & bushel,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/3538541/Basket-And-Bushel-Zima-Tomatoes
Basket & Bushel Mini Kumato Tomatoes,4.19,4.19,,1 pint Container,,Basket & bushel,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/3538542/Basket-And-Bushel-Mini-Kumato-Tomatoes
"Sunset Tomatoes, Organic, Campari",6.29,6.29,0.75,12 oz Clamshell,True,Sunset,Non-local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/491714/Sunset-Tomatoes-Organic-Campari
Cherry Tomatoes,3.19,3.99,,1 pt,,,,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/37463/Cherry-Tomatoes
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of stock,,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,42.0125766,-91.663544,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/organic_on_the_vine_tomato/p/2313397#!/?department_id=1322936
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of stock,,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,42.0125766,-91.663544,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/organic_slicer_tomatoes/p/7783644#!/?department_id=1322936
Tomatillos,3.99,3.99,1.0,$3.99/lb,,,,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,42.0125766,-91.663544,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/tomatillos/p/12573#!/?department_id=1322936
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of stock,,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,42.0125766,-91.663544,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/organic_darling_grape_tomatoes/p/1564405684690758978#!/?department_id=1322936
Heirloom Tomatoes,4.49,4.49,1.0,$4.49/lb,,,,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,42.0125766,-91.663544,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/heirloom_tomatoes/p/2311736
Organic On-The-Vine Tomato,3.99,3.99,1.0,$3.99/lb,True,,,22 South Van Buren Street,IA,Iowa City,52240,41.6605299,-91.5283829,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/organic_on_the_vine_tomato/p/2313397#!/?department_id=1322936
Organic Slicer Tomatoes,3.99,3.99,1.0,$3.99/lb,True,,,22 South Van Buren Street,IA,Iowa City,52240,41.6605299,-91.5283829,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/organic_slicer_tomatoes/p/7783644#!/?department_id=1322936
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of stock,,22 South Van Buren Street,IA,Iowa City,52240,41.6605299,-91.5283829,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/tomatillos/p/12573#!/?department_id=1322936
Organic Darling Grape Tomatoes,5.99,5.99,0.75,12 oz,True,,,22 South Van Buren Street,IA,Iowa City,52240,41.6605299,-91.5283829,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/organic_darling_grape_tomatoes/p/1564405684690758978#!/?department_id=1322936
Heirloom Tomatoes,4.49,4.49,1.0,$4.49/lb,,,,22 South Van Buren Street,IA,Iowa City,52240,41.6605299,-91.5283829,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/heirloom_tomatoes/p/2311736
Organic On-The-Vine Tomato,3.99,3.99,1.0,$3.99/lb,True,,,1101 2nd St,IA,Coralville,52241,41.6744321,-91.580342,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/organic_on_the_vine_tomato/p/2313397#!/?department_id=1322936
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of stock,,1101 2nd St,IA,Coralville,52241,41.6744321,-91.580342,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/organic_slicer_tomatoes/p/7783644#!/?department_id=1322936
