Beef (Ground),Current Price,Sale,Unit Price,Store Location,Url
Thomas Farms Ground Wagyu Beef Patties - 16 Ounce,$7.99,,$0.50/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/thomas-farms-ground-wagyu-beef-patties-00647086021125
Thomas Farms Ground Wagyu Beef - 16 Ounce,$7.49,,$0.47/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/thomas-farms-ground-wagyu-beef-00647086011553
Thomas Farms Grass Fed Ground Beef Burgers 10ct - 32 Ounce,$10.00,was $13.99,$0.31/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/thomas-farms-grass-fed-ground-beef-burgers-10ct-00647086002544
Thomas Farms Ground Wagyu Beef Patties - 16 Ounce,$7.99,,$0.50/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/thomas-farms-ground-wagyu-beef-patties-00647086021125
Thomas Farms Ground Wagyu Beef - 16 Ounce,$7.49,,$0.47/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/thomas-farms-ground-wagyu-beef-00647086011553
Thomas Farms Grass Fed Ground Beef Burgers 10ct - 32 Ounce,$10.00,was $13.99,$0.31/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/thomas-farms-grass-fed-ground-beef-burgers-10ct-00647086002544
Fresh Thyme 93% Ground Beef Value Pack - 2.8 Pound,$16.21 avg/ea,was $17.61 avg/ea,$5.79/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/fresh-thyme-93-ground-beef-value-pack-00211078000001
"Abbot's Butcher Plant Based Ground ""beef"" - 10 Ounce",$8.49,,$0.85/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/abbots-butcher-plant-based-ground-beef-00850002856149
Beyond Meat Beyond Beef Plant-based Ground - 16 Ounce,$9.79,,$0.61/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/beyond-meat-beyond-beef-plantbased-ground-00850004207093
Impossible Plant Based Ground Beef Brick - 12 Ounce,$7.49,,$0.62/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/impossible-plant-based-ground-beef-brick-00816697021002
