Beef (Steak),Current Price,Sale,Unit Price,Store Location,Url
Certified Angus Beef® New York Strip Steak Boneless Family Pack - 3 Pound,$44.97 avg/ea,,$14.99/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/certified-angus-beef-new-york-strip-steak-boneless-family-pack-00201107000003
Certified Angus Beef Top Blade Steak Family Pack Thin Cut Boneless - 3 Pound,$31.47 avg/ea,,$10.49/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/certified-angus-beef-top-blade-steak-family-pack-thin-cut-boneless-00201164000008
Certified Angus Beef Sirloin Tip Steak Family Pack Boneless Thin Cut - 3 Pound,$20.07 avg/ea,,$6.69/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/certified-angus-beef-sirloin-tip-steak-family-pack-boneless-thin-cut-00201175000004
Certified Angus Beef New York Strip Steak Boneless Thin Cut - 1 Pound,$16.49 avg/ea,,$16.49/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/certified-angus-beef-new-york-strip-steak-boneless-thin-cut-00201020000005
Certified Angus Beef Top Blade Steak Family Pack Boneless - 3 Pound,$28.47 avg/ea,,$9.49/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/certified-angus-beef-top-blade-steak-family-pack-boneless-00201163000009
Certified Angus Beef New York Strip Steak Bone In Family Pack - 3 Pound,$38.97 avg/ea,,$12.99/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/certified-angus-beef-new-york-strip-steak-bone-in-family-pack-00201106000004
Certified Angus Beef T-bone Steak Bone In Family Pack - 3 Pound,$26.97 avg/ea,was $42.87 avg/ea,$8.99/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/certified-angus-beef-tbone-steak-bone-in-family-pack-00201110000007
Certified Angus Beef Sirloin Tip Steak Family Pack Boneless - 3 Pound,$18.57 avg/ea,,$6.19/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/certified-angus-beef-sirloin-tip-steak-family-pack-boneless-00201156000009
Certified Angus Beef Chuck Eye Steak Boneless Family Pack - 3 Pound,$18.87 avg/ea,was $21.57 avg/ea,$6.29/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/certified-angus-beef-chuck-eye-steak-boneless-family-pack-00201160000002
Certified Angus Beef Top Sirloin Strip Steak Boneless - 1 Pound,$8.99 avg/ea,,$8.99/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/certified-angus-beef-top-sirloin-strip-steak-boneless-00201387000007
Certified Angus Beef Chuck Eye Steak Thin Cut Boneless - 3 Pound,$19.47 avg/ea,was $23.07 avg/ea,$6.49/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/certified-angus-beef-chuck-eye-steak-thin-cut-boneless-00201161000001
Certified Angus Beef Ribeye Steak Boneless Thin Cut - 2 Pound,$35.38 avg/ea,,$17.69/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/certified-angus-beef-ribeye-steak-boneless-thin-cut-00201019000009
Certified Angus Beef New York Sirloin Steak Boneless - 1 Pound,$8.99 avg/ea,,$8.99/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/certified-angus-beef-new-york-sirloin-steak-boneless-00201013000005
Certified Angus Beef Cube Steak Boneless Family Pack - 3 Pound,$17.97 avg/ea,,$5.99/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/certified-angus-beef-cube-steak-boneless-family-pack-00201154000001
