Eggs,Current Price,Sale,Unit Price,Store Location,Url
Vital Farms Pasture Raised Large Eggs - 1 Each,$6.49,was $8.99,,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/vital-farms-pasture-raised-large-eggs-00861745000010
Egglife Southwest Egg White Wraps - 6 Ounce,$5.79,was $6.99,$0.97/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/egglife-southwest-egg-white-wraps-00810023540021
Fresh Thyme Cage Free Jumbo Grade A Brown Eggs - 1 Each,$4.79,,,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/fresh-thyme-cage-free-jumbo-grade-a-brown-eggs-00841330121788
Chino Valley Cage Free 100% Liquid Egg Whites - 16 Ounce,$4.29,,$0.27/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/chino-valley-cage-free-100-liquid-egg-whites-00095437800019
Fresh Thyme Cage Free Organic Medium Grade A Brown Eggs - 1.5 Each,$6.99,,$4.66 each,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/fresh-thyme-cage-free-organic-medium-grade-a-brown-eggs-00841330111727
Vital Farms Pasture-raised Hard Boiled Eggs 6ct - 0.5 Each,$5.99,was $6.49,$11.98 each,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/vital-farms-pastureraised-hard-boiled-eggs-6ct-00851387007645
Fresh Thyme Cage Free Large Grade A White Eggs - 1.5 Each,$5.49,,$3.66 each,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/fresh-thyme-cage-free-large-grade-a-white-eggs-00841330122488
Fresh Thyme Cage Free Large Grade A White Eggs - 1 Each,$3.99,,,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/fresh-thyme-cage-free-large-grade-a-white-eggs-00841330117255
Fresh Thyme Cage Free Large Grade A Brown Eggs - 1 Each,$3.99,,,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/fresh-thyme-cage-free-large-grade-a-brown-eggs-00841330109281
Fresh Thyme Cage Free Jumbo Grade A Brown Eggs - 1 Each,$4.79,,,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/fresh-thyme-cage-free-jumbo-grade-a-brown-eggs-00841330121788
Chino Valley Cage Free 100% Liquid Egg Whites - 16 Ounce,$4.29,,$0.27/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/chino-valley-cage-free-100-liquid-egg-whites-00095437800019
Three Bridges Uncured Bacon & Cheese Egg Bites - 4.6 Ounce,$4.99,was $5.99,$1.08/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/three-bridges-uncured-bacon-&-cheese-egg-bites-00742753347291
Three Bridges Spinach & Bell Pepper Egg Bites - 4.6 Ounce,$4.99,was $5.99,$1.08/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/three-bridges-spinach-&-bell-pepper-egg-bites-00742753347413
Eggland's Best Hard Cooked Peeled Eggs 10ct - 1 Each,$6.99,,,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/egglands-best-hard-cooked-peeled-eggs-10ct-00715141501193
Born Free Large Brown Free Range Eggs - 12 Each,$5.49,,$0.46 each,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/born-free-large-brown-free-range-eggs-00857733005303
Beaver Creek Farm Medium Organic Brown Eggs - 1 Each,$4.49,,,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/beaver-creek-farm-medium-organic-brown-eggs-07426963843790
Eggland's Best Cage Free Large Brown Eggs - 1 Each,$5.29,,,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/egglands-best-cage-free-large-brown-eggs-00715141514643
Three Bridges Mushroom & Asiago Egg Bites - 4.6 Ounce,$4.99,was $5.99,$1.08/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/three-bridges-mushroom-&-asiago-egg-bites-00742753347253
Egglife Sweet Cinnamon Egg White Wraps - 6 Ounce,$5.79,was $6.99,$0.97/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/egglife-sweet-cinnamon-egg-white-wraps-00810023540090
Egglife Everything Bagel Egg White Wraps - 6 Ounce,$5.79,was $6.99,$0.97/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/egglife-everything-bagel-egg-white-wraps-00810023540083
Egglife Southwest Egg White Wraps - 6 Ounce,$5.79,was $6.99,$0.97/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/egglife-southwest-egg-white-wraps-00810023540021
Eggland's Best Organic Large Brown Eggs - 1 Each,$6.99,,,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/egglands-best-organic-large-brown-eggs-00715141716825
Egglife Original Egg White Wraps - 6 Ounce,$5.79,was $6.99,$0.97/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/egglife-original-egg-white-wraps-00810023540007
Happy Egg Heritage Breed Eggs - 1 Each,$7.49,was $8.99,,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/happy-egg-heritage-breed-eggs-00887422000210
Happy Egg Free Range Eggs 18ct - 1.5 Each,$7.99,was $8.99,$5.33 each,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/happy-egg-free-range-eggs-18ct-00887422000067
Just Egg Plant Based Vegan Liquid Scramble - 12 Ounce,$4.99,was $5.49,$0.42/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/just-egg-plant-based-vegan-liquid-scramble-00191011000605
Egg Beaters Original Egg Beaters - 16 Ounce,$3.99,,$0.25/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/egg-beaters-original-egg-beaters-00196370002161
Happy Egg Free Range Large Grade A Brown Eggs - 1 Each,$5.49,was $6.49,,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/happy-egg-free-range-large-grade-a-brown-eggs-00887422000005
Penny Smart Large Grade A White Eggs - 1 Each,$2.99,,,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/penny-smart-large-grade-a-white-eggs-00713733488198
Vital Farms Organic Pasture Raised Large Eggs - 1 Each,$7.49,was $9.99,,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/vital-farms-organic-pasture-raised-large-eggs-00861745000027
Happy Egg Organic Free Range Large Grade A Eggs - 1 Each,$6.99,was $7.49,,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/happy-egg-organic-free-range-large-grade-a-eggs-00887422000081
Handsome Brook Farm Organic Pasture Raised Eggs - 1 Each,$5.99,was $6.49,,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/handsome-brook-farm-organic-pasture-raised-eggs-00866332000107
Fresh Thyme Organic Large Grade A Brown Eggs - 1 Each,$5.99,,,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/fresh-thyme-organic-large-grade-a-brown-eggs-00841330109311
Vital Farms Pasture Raised Large Eggs - 1 Each,$6.49,was $8.99,,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/vital-farms-pasture-raised-large-eggs-00861745000010
Fresh Thyme Cage Free Organic Medium Grade A Brown Eggs - 1.5 Each,$6.99,,$4.66 each,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/fresh-thyme-cage-free-organic-medium-grade-a-brown-eggs-00841330111727
Fresh Thyme Cage Free Large Grade A White Eggs - 1 Each,$3.99,,,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/fresh-thyme-cage-free-large-grade-a-white-eggs-00841330117255
