From,To,Count,From Lat,From Long,To Lat,To Long
Boone,Plymouth,0.73,42.0881747,-93.9878427,42.776665,-96.1526985
Boone,Buena Vista,1.17,42.0881747,-93.9878427,42.6705452,-95.1432068
Boone,Carroll,0.69,42.0881747,-93.9878427,42.0566912,-94.8105955
Buchanan,Benton,1.19,42.4566006,-91.9099238,42.1387249,-92.0665197
Buchanan,Poweshiek,0.9,42.4566006,-91.9099238,41.6530119,-92.539603
Buchanan,Madison,0.22,42.4566006,-91.9099238,41.2922367,-93.9878427
Buchanan,Hardin,0.67,42.4566006,-91.9099238,42.4285425,-93.1779659
Winneshiek,Dickinson,0.71,43.2362611,-91.9099238,43.4049388,-95.1849219
Jackson,Jones,0.05,42.1560699,-90.5257823,42.1516737,-91.135302
Fayette,Dickinson,0.14,42.9258199,-91.9099238,43.4049388,-95.1849219
Cedar,Washington,0.84,41.8346154,-91.135302,41.3477966,-91.7538817
Cedar,Mahaska,0.38,41.8346154,-91.135302,41.329588,-92.6983868
Cedar,Jones,0.24,41.8346154,-91.135302,42.1516737,-91.135302
Cedar,Henry,1.08,41.8346154,-91.135302,41.0283603,-91.5983959
Cedar,Iowa,0.1,41.8346154,-91.135302,41.6624604,-92.0665197
Delaware,Mahaska,0.7,42.4634009,-91.443469,41.329588,-92.6983868
Delaware,Poweshiek,0.01,42.4634009,-91.443469,41.6530119,-92.539603
Clayton,Bremer,1.75,42.7785285,-91.2891036,42.761082,-92.3813621
Clayton,Jones,0.46,42.7785285,-91.2891036,42.1516737,-91.135302
Clayton,Buena Vista,0.1,42.7785285,-91.2891036,42.6705452,-95.1432068
Clayton,Dickinson,1.12,42.7785285,-91.2891036,43.4049388,-95.1849219
Clayton,Clay,0.92,42.7785285,-91.2891036,43.1368038,-95.1432068
Tama,Madison,0.14,42.1292592,-92.539603,41.2922367,-93.9878427
