Bacon,Current Price,Orignal Price,Weight in lbs,True Weight,Brand,Local,Address,State,City,Zip Code,Date Collected,Url
Boar's Head Fully Cooked Traditional Bacon - 2.29 Ounce,7.49,7.49,0.143125,2.29 oz,Boar's head,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-06-27,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Boar's Head Canadian Style Uncured Bacon - 6 Ounce,5.99,5.99,0.375,6 oz,Boar's head,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-06-27,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Pederson's Natural Farms No Sugar Uncured Hickory Bacon - 10 Ounce,6.99,7.49,0.625,10 oz,Pederson's natural farms,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-06-27,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Indiana Kitchen Hardwood Smoked Thick Cut Bacon - 16 Ounce,6.49,6.49,1.0,16 oz,Indiana kitchen,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-06-27,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Deli Sliced Thick Cut Applewood Bacon In Bag - 3 Pound,17.97,17.97,3.0,3 lb,Deli,Can't be Determined,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-06-27,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Deli Sliced Thick Cut Peppered Bacon In Bag - 3 Pound,17.97,17.97,3.0,3 lb,Deli,Can't be Determined,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-06-27,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Applegate Naturals Uncured Hickory Smoked Sunday Bacon - 8 Ounce,6.49,6.49,0.5,8 oz,Applegate,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-06-27,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Fresh Thyme Smoked Sliced Uncured Bacon - 12 Ounce,6.49,6.49,0.75,12 oz,Fresh thyme,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-06-27,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Farm Promise Smoked Hardwood Uncured Bacon - 12 Ounce,6.99,6.99,0.75,12 oz,Farm promise,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-06-27,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Farm Promise Smoked Applewood Uncured Bacon - 12 Ounce,6.99,6.99,0.75,12 oz,Farm promise,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-06-27,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Deli Sliced Thick Cut Peppered Bacon - 1 Pound,5.99,5.99,1.0,1 lb,Deli,Can't be Determined,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-06-27,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Deli Sliced Thick Cut Bacon In Bag - 3 Pound,17.97,17.97,3.0,3 lb,Deli,Can't be Determined,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-06-27,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
Pederson's Natural Farms No Sugar Uncured Hickory Bacon - 10 Ounce,6.99,7.49,0.625,10 oz,Pederson's natural farms,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-06-27,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
