Egg,Current Price,Orignal Price,Amount in dz,True Amount,Brand,Local,Address,State,City,Zip Code,Date Collected,Url
"Farmers Hen House Eggs, Grade A, Free Range, Large Brown 12 ea",3.99,3.99,1.0,12 ea,Farmers hen house,Local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-06-27,https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/farmers_hen_house_eggs_grade_a_free_range_large_brown_12_ea/p/7110637
"Farmers Hen House Eggs, White, Cage-Free, Large",3.49,3.49,1.0,12 ea,Farmers hen house,Local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-06-27,https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/farmers_hen_house_eggs_white_cage_free_large/p/7110638
Farmers Hen House Eggs Large Brown Free Range,5.49,5.49,1.0,1 dozen,Farmers hen house,Local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-06-27,https://shop.newpi.coop/shop/refrigerated/eggs/organic/farmers_hen_house_eggs_large_brown_free_range/p/7613595
"Vital Farms Eggs, Organic, Pasture Raised, Large 12 ea",8.99,8.99,1.0,12 ea,Vital farms,Non-local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-06-27,https://shop.newpi.coop/shop/refrigerated/eggs/organic/vital_farms_eggs_organic_pasture_raised_large_12_ea/p/5637123
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-06-27,https://shop.newpi.coop/shop/refrigerated/eggs/hotz_eggs_dozen_xtra_large/p/1564405684714084840
Farmers Hen House Eggs Jumbo Brown,5.99,5.99,1,1 dozen,Farmers hen house,Local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-06-27,https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/farmers_hen_house_eggs_jumbo_brown/p/7613596
Cedar Ridge Farm Grade A Large Eggs,5.49,5.49,1,1 dozen,Cedar ridge farm,Local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-06-27,https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/cedar_ridge_farm_grade_a_large_eggs/p/1564405684704338616
Farmers Hen House Eggs Og Pasture Lrg Brwn,6.99,6.99,1.0,12 ea,Farmers hen house,Local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-06-27,https://shop.newpi.coop/shop/refrigerated/eggs/organic/farmers_hen_house_eggs_og_pasture_lrg_brwn/p/7613597
Farmers Hen House Eggs Large Brown Free Range,2.79,2.79,1.0,half dozen,Farmers hen house,Local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-06-27,https://shop.newpi.coop/shop/refrigerated/eggs/organic/farmers_hen_house_eggs_large_brown_free_range/p/1564405684703497142
Vital Farms Large Pasture-Raised Eggs 12 ea,7.99,7.99,1.0,12 ea,Vital farms,Non-local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-06-27,https://shop.newpi.coop/shop/refrigerated/eggs/organic/vital_farms_large_pasture_raised_eggs_12_ea/p/5323128
"Vital Farms Eggs, Pasture-Raised, Large 18 ea",10.99,10.99,1.5,18 ea,Vital farms,Non-local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-06-27,https://shop.newpi.coop/shop/refrigerated/eggs/vital_farms_eggs_pasture_raised_large_18_ea/p/1564405684690018196
Organic Valley Free Range Brown Large Eggs 12 ea,3.99,5.99,1.0,12 ea,Organic valley,Non-local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-06-27,https://shop.newpi.coop/shop/refrigerated/eggs/organic/organic_valley_free_range_brown_large_eggs_12_ea/p/48765
Cedar Ridge Farm Grade A Extra Large Eggs,5.99,5.99,1,1 dozen,Cedar ridge farm,Local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-06-27,https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/cedar_ridge_farm_grade_a_extra_large_eggs/p/1564405684704338617
Steinecke Family Farm Duck Eggs,5.99,5.99,0.5,6 pk,Steinecke family farm,Local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-06-27,https://shop.newpi.coop/shop/refrigerated/eggs/steinecke_family_farm_duck_eggs/p/1564405684711593802
