,Bacon,Current Price,Weight,Sale Price,Location,Url
0,"Hormel Black Label Thick Cut Bacon, 1 Lb",$7.99,16 oz,,"900 South Locust Street Glenwood, IA 51534 ",https://www.russmarket.com/shop/meat/bacon/sliced/hormel_black_label_thick_cut_bacon_1_lb/p/229335
1,"Hormel® Black Label® Original Bacon, 16 Ounce",$7.99,16 oz,,"900 South Locust Street Glenwood, IA 51534 ",https://www.russmarket.com/shop/meat/bacon/sliced/hormel_black_label_original_bacon_16_ounce/p/2349369
2,Mullan Road Bacon,$15.99,3 lb,,"900 South Locust Street Glenwood, IA 51534 ",https://www.russmarket.com/shop/meat/bacon/mullan_road_bacon/p/5220311
3,Prairie Fresh Signature Applewood Smoked Bacon Pork Loin Filet 27.2 Oz,$8.99,27.2 oz,$5.99,"900 South Locust Street Glenwood, IA 51534 ",https://www.russmarket.com/shop/meat/bacon/prairie_fresh_signature_applewood_smoked_bacon_pork_loin_filet_27_2_oz/p/6828650
4,"Farmland Bacon, Thick Cut, Naturally Hickory Smoked",$12.99,24 oz,,"900 South Locust Street Glenwood, IA 51534 ",https://www.russmarket.com/shop/meat/bacon/farmland_bacon_thick_cut_naturally_hickory_smoked/p/571658
5,Sliced Slab Bacon,$3.99,lb,,"900 South Locust Street Glenwood, IA 51534 ",https://www.russmarket.com/shop/meat/bacon/sliced_slab_bacon/p/1564405684712590572
6,Smithfield Naturally Hickory Smoked Hometown Original Bacon,$6.99,12 oz,,"900 South Locust Street Glenwood, IA 51534 ",https://www.russmarket.com/shop/meat/bacon/sliced/smithfield_naturally_hickory_smoked_hometown_original_bacon/p/3142755
7,Jamestown Economy Sliced Bacon 16 Oz,$4.49,16 oz,,"900 South Locust Street Glenwood, IA 51534 ",https://www.russmarket.com/shop/meat/bacon/sliced/jamestown_economy_sliced_bacon_16_oz/p/180026
8,Smithfield® Naturally Hickory Smoked Thick Cut Bacon 12 Oz. Pack,$6.99,12 oz,,"900 South Locust Street Glenwood, IA 51534 ",https://www.russmarket.com/shop/meat/bacon/sliced/smithfield_naturally_hickory_smoked_thick_cut_bacon_12_oz_pack/p/3142757
9,"Smithfield Bacon, Thick Cut 12 Oz",$6.99,12 oz,,"900 South Locust Street Glenwood, IA 51534 ",https://www.russmarket.com/shop/meat/bacon/sliced/smithfield_bacon_thick_cut_12_oz/p/2101085
10,"Farmland Naturally Hickory Smoked Classic Cut Bacon, 16 Oz",$8.99,16 oz,$3.99,"900 South Locust Street Glenwood, IA 51534 ",https://www.russmarket.com/shop/meat/bacon/sliced/farmland_naturally_hickory_smoked_classic_cut_bacon_16_oz/p/2376191
11,"Farmland Naturally Hickory Smoked Thick Cut Bacon, 16 Oz",$8.99,16 oz,$3.99,"900 South Locust Street Glenwood, IA 51534 ",https://www.russmarket.com/shop/meat/bacon/sliced/farmland_naturally_hickory_smoked_thick_cut_bacon_16_oz/p/95721
12,"Farmland Naturally Applewood Smoked Bacon, 16 Oz",$8.99,16 oz,$3.99,"900 South Locust Street Glenwood, IA 51534 ",https://www.russmarket.com/shop/meat/bacon/sliced/farmland_naturally_applewood_smoked_bacon_16_oz/p/585815
13,"Hormel Black Label Microwave Ready Bacon, 12 Oz",$8.69,12 oz,,"900 South Locust Street Glenwood, IA 51534 ",https://www.russmarket.com/shop/meat/bacon/sliced/hormel_black_label_microwave_ready_bacon/p/26151
14,Oscar Mayer Original Bacon 16 Oz,$9.99,16 oz,,"900 South Locust Street Glenwood, IA 51534 ",https://www.russmarket.com/shop/meat/bacon/sliced/oscar_mayer_original_bacon_16_oz/p/32303
15,Big Buy Hardwood Smoked Bacon,$3.79,1 lb,,"900 South Locust Street Glenwood, IA 51534 ",https://www.russmarket.com/shop/meat/bacon/sliced/big_buy_hardwood_smoked_bacon/p/2101073
16,"Oscar Mayer Turkey Bacon, Original 12 Oz",$4.99,12 oz,2 for $8.00,"900 South Locust Street Glenwood, IA 51534 ",https://www.russmarket.com/shop/meat/bacon/turkey/oscar_mayer_turkey_bacon_original_12_oz/p/39809
17,"Farmland Bacon, Low Sodium, Hickory Smoked 16 Oz",$8.99,16 oz,$3.99,"900 South Locust Street Glenwood, IA 51534 ",https://www.russmarket.com/shop/meat/bacon/sliced/farmland_bacon_low_sodium_hickory_smoked_16_oz/p/2376192
18,"Farmland Bacon, Double Smoked, Double Thick Cut 12 Oz",$8.99,12 oz,$3.99,"900 South Locust Street Glenwood, IA 51534 ",https://www.russmarket.com/shop/meat/bacon/canadian/farmland_bacon_double_smoked_double_thick_cut_12_oz/p/1564405684713224952
19,Hormel® Black Label® Naturally Hardwood Smoked 97% Fat Free Canadian Bacon 6 Oz. Zip Pak®,$3.99,6 ea,,"900 South Locust Street Glenwood, IA 51534 ",https://www.russmarket.com/shop/meat/bacon/canadian/hormel_black_label_naturally_hardwood_smoked_97_fat_free_canadian_bacon_6_oz_zip_pak/p/26168
20,"Oscar Mayer Bacon, Original 8 Oz",$4.49,8 oz,,"900 South Locust Street Glenwood, IA 51534 ",https://www.russmarket.com/shop/meat/bacon/sliced/oscar_mayer_bacon_original_8_oz/p/32302
