Potatoes,Current Price,Sale,Unit Price,Store Location,Url
Organic Yukon Gold Potatoes 3 Lb Bag - 3 Pound,$4.99,,$1.66/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/organic-yukon-gold-potatoes-3-lb-bag-00000000947320
Organic Sunrise Medley Potatoes - 24 Ounce,$4.99,,$0.21/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/organic-sunrise-medley-potatoes-00826088599157
Organic Red Potatoes Bag - 3 Pound,$4.99,,$1.66/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/organic-red-potatoes-bag-00000000947310
Organic Ruby Sensation Potatoes - 24 Ounce,$4.99,,$0.21/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/organic-ruby-sensation-potatoes-00826088519155
Organic Honey Gold Potatoes - 24 Ounce,$4.99,,$0.21/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/organic-honey-gold-potatoes-00826088589158
Organic Russet Potatoes Bag - 3 Pound,$4.99,,$1.66/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/organic-russet-potatoes-bag-00000000947250
Bag Idaho Russet Potatoes - 5 Pound,$3.99,,$0.80/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/bag-idaho-russet-potatoes-00000000047290
Bag Yukon Gold Potatoes - 5 Pound,$4.99,,$1.00/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/bag-yukon-gold-potatoes-00000000047330
Yukon Gold Potatoes - 0.75 Pound,$0.97 avg/ea,,$1.29/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/yukon-gold-potatoes-00000000047270
Russet Baking Potatoes - 1 Pound,$1.29 avg/ea,,$1.29/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/russet-baking-potatoes-00000000040720
Red Rose Potatoes - 0.75 Pound,$0.97 avg/ea,,$1.29/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/red-rose-potatoes-00000000040730
Japanese Sweet Potato - 1.25 Pound,$3.74 avg/ea,,$2.99/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/japanese-sweet-potato-00000000033340
Garnet Sweet Potato - 1.25 Pound,$2.49 avg/ea,,$1.99/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/garnet-sweet-potato-00000000040740
Bag Red Potatoes - 5 Pound,$4.99,,$1.00/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/bag-red-potatoes-00000000047300
Sweet Potatoes - 1.25 Pound,$1.24 avg/ea,,$0.99/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/product/sweet-potatoes-00000000048160
Organic Yukon Gold Potatoes 3 Lb Bag - 3 Pound,$4.99,,$1.66/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/organic-yukon-gold-potatoes-3-lb-bag-00000000947320
Organic Sunrise Medley Potatoes - 24 Ounce,$4.99,,$0.21/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/organic-sunrise-medley-potatoes-00826088599157
Organic Russet Potatoes Bag - 3 Pound,$4.99,,$1.66/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/organic-russet-potatoes-bag-00000000947250
