,Bacon,Current Price,Unit Price,Sale,Store Location,Url
0,Boar's Head Uncured Turkey Bacon - 12 Ounce,$6.99,,$0.58/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
1,Boar's Head Uncured Turkey Bacon - 12 Ounce,$6.99,,$0.58/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
2,Hatfield Hardwood Smoked Uncured Bacon - 16 Ounce,$6.99,was $7.99,$0.44/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
3,Deli Sliced Thick Cut Bacon - 1 Pound,$5.99 avg/ea,,$5.99/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
4,Pederson's Natural Farms Organic No Sugar Uncured Smoked Bacon - 8 Ounce,$7.49,,$0.94/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
5,Fresh Thyme Smoked Sliced Uncured Turkey Bacon - 12 Ounce,$4.69,,$0.39/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
6,Boar's Head Canadian Style Uncured Bacon - 6 Ounce,$5.99,,$1.00/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
7,Boar's Head Fully Cooked Traditional Bacon - 2.29 Ounce,$7.49,,$3.27/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
8,Fresh Thyme Fully Cooked Uncured Turkey Bacon - 2.14 Ounce,$3.99,,$1.86/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
9,Applegate Organics Uncured Hickory Smoked Turkey Bacon - 8 Ounce,$7.49,,$0.94/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
10,Deli Sliced Thick Cut Applewood Bacon In Bag - 3 Pound,$17.97 avg/ea,,$5.99/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
11,Indiana Kitchen Hardwood Smoked Bacon - 16 Ounce,$6.49,,$0.41/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
12,Boar's Head Hot Smoked Uncured Sausage - 16 Ounce,$7.99,,$0.50/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
