,Egg,Current Price,Weight,Sale,Store Location,Url
0,"Farmers Hen House Eggs, Grade A, Free Range, Large Brown 12 ea",$3.99,12 ea,,"3338 Center Point Road Northeast Cedar Rapids, IA 52402",https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/farmers_hen_house_eggs_grade_a_free_range_large_brown_12_ea/p/7110637
1,"Farmers Hen House Eggs, White, Cage-Free, Large",$3.49,12 ea,,"3338 Center Point Road Northeast Cedar Rapids, IA 52402",https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/farmers_hen_house_eggs_white_cage_free_large/p/7110638
2,Farmers Hen House Eggs Large Brown Free Range,$5.49,1 dozen,,"3338 Center Point Road Northeast Cedar Rapids, IA 52402",https://shop.newpi.coop/shop/refrigerated/eggs/organic/farmers_hen_house_eggs_large_brown_free_range/p/7613595
3,"Vital Farms Eggs, Organic, Pasture Raised, Large 12 ea",$8.99,12 ea,,"3338 Center Point Road Northeast Cedar Rapids, IA 52402",https://shop.newpi.coop/shop/refrigerated/eggs/organic/vital_farms_eggs_organic_pasture_raised_large_12_ea/p/5637123
4,Sorry!,None in stock,None in stock,None in stock,"3338 Center Point Road Northeast Cedar Rapids, IA 52402",https://shop.newpi.coop/shop/refrigerated/eggs/hotz_eggs_dozen_xtra_large/p/1564405684714084840
5,Farmers Hen House Eggs Jumbo Brown,$5.99,1 dozen,,"3338 Center Point Road Northeast Cedar Rapids, IA 52402",https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/farmers_hen_house_eggs_jumbo_brown/p/7613596
6,Cedar Ridge Farm Grade A Large Eggs,$5.49,1 dozen,,"3338 Center Point Road Northeast Cedar Rapids, IA 52402",https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/cedar_ridge_farm_grade_a_large_eggs/p/1564405684704338616
7,Farmers Hen House Eggs Og Pasture Lrg Brwn,$6.99,12 ea,,"3338 Center Point Road Northeast Cedar Rapids, IA 52402",https://shop.newpi.coop/shop/refrigerated/eggs/organic/farmers_hen_house_eggs_og_pasture_lrg_brwn/p/7613597
8,Farmers Hen House Eggs Large Brown Free Range,$2.79,half dozen,,"3338 Center Point Road Northeast Cedar Rapids, IA 52402",https://shop.newpi.coop/shop/refrigerated/eggs/organic/farmers_hen_house_eggs_large_brown_free_range/p/1564405684703497142
9,Vital Farms Large Pasture-Raised Eggs 12 ea,$7.99,12 ea,,"3338 Center Point Road Northeast Cedar Rapids, IA 52402",https://shop.newpi.coop/shop/refrigerated/eggs/organic/vital_farms_large_pasture_raised_eggs_12_ea/p/5323128
10,"Vital Farms Eggs, Pasture-Raised, Large 18 ea",$10.99,18 ea,,"3338 Center Point Road Northeast Cedar Rapids, IA 52402",https://shop.newpi.coop/shop/refrigerated/eggs/vital_farms_eggs_pasture_raised_large_18_ea/p/1564405684690018196
11,Organic Valley Free Range Brown Large Eggs 12 ea,$5.99,12 ea,,"3338 Center Point Road Northeast Cedar Rapids, IA 52402",https://shop.newpi.coop/shop/refrigerated/eggs/organic/organic_valley_free_range_brown_large_eggs_12_ea/p/48765
