Egg,Current Price,Orignal Price,Amount in dz,True Amount,Brand,Local,Address,State,City,Zip Code,Date Collected,Url
Happy Egg Heritage Breed Eggs - 1 Each,7.49,8.99,1.0,1 dz,Happy egg,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs
Fresh Thyme Cage Free Organic Medium Grade A Brown Eggs - 1.5 Each,6.99,6.99,1.5,1.5 dz,Fresh thyme,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Fresh Thyme Cage Free Large Grade A White Eggs - 1.5 Each,5.49,5.49,1.5,1.5 dz,Fresh thyme,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Fresh Thyme Cage Free Organic Medium Grade A Brown Eggs - 1.5 Each,6.99,6.99,1.5,1.5 dz,Fresh thyme,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs
Fresh Thyme Cage Free Large Grade A White Eggs - 1.5 Each,5.49,5.49,1.5,1.5 dz,Fresh thyme,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs
Fresh Thyme Cage Free Large Grade A White Eggs - 1 Each,3.99,3.99,1.0,1 dz,Fresh thyme,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs
Fresh Thyme Cage Free Large Grade A White Eggs - 1 Each,3.99,3.99,1.0,1 dz,Fresh thyme,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Fresh Thyme Cage Free Large Grade A Brown Eggs - 1 Each,3.99,3.99,1.0,1 dz,Fresh thyme,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Fresh Thyme Cage Free Jumbo Grade A Brown Eggs - 1 Each,4.79,4.79,1.0,1 dz,Fresh thyme,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Fresh Thyme Cage Free Large Grade A Brown Eggs - 1 Each,3.99,3.99,1.0,1 dz,Fresh thyme,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs
Fresh Thyme Cage Free Jumbo Grade A Brown Eggs - 1 Each,4.79,4.79,1.0,1 dz,Fresh thyme,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs
